Id,Day,Grade,Section,Hall No,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,CreatedBy
,Monday ,LKG,A,,ENG (HT),EVS (HT),STORY TIME (RM),MATH (HT),TAMIL (SL),ENG (HT),,,
,Tuesday,LKG,A,,MATH (HT),TAMIL (SL),RHY. SONG (RM),P.E.T (HT),ENG (HT),EVS (HT),,,
,Wednesday,LKG,A,,RHY. SONG (RM),ART & CRAFT (MK),MATH (HT),EVS (HT),RHY. SONG (RM),TAMIL (SL),,,
,Thursday,LKG,A,,MATH (HT),P.E.T (AS/HT),TAMIL (SL),ART & CRAFT (MK),EVS (HT),STORY TIME (RM),,,
,Friday,LKG,A,,ENG (HT),TAMIL (SL),MATH (HT),YOGA (HT),ENG (HT),EVS (HT),,,
