Id,Day,Grade,Section,Hall No,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,CreatedBy
,Monday ,2,A,,ENG (HT),EVS (HT),STORY TIME (RM),MATH (HT),TAMIL (SL),ENG (HT),,,
,Tuesday,2,A,,MATH (HT),TAMIL (SL),RHY. SONG (RM),P.E.T (HT),ENG (HT),EVS (HT),,,
,Wednesday,2,A,,RHY. SONG (RM),ART & CRAFT (MK),MATH (HT),EVS (HT),RHY. SONG (RM),TAMIL (SL),,,
,Thursday,2,A,,MATH (HT),P.E.T (AS/HT),TAMIL (SL),ART & CRAFT (MK),EVS (HT),STORY TIME (RM),,,
,Friday,2,A,,ENG (HT),TAMIL (SL),MATH (HT),YOGA (HT),ENG (HT),EVS (HT),,,
